date,close
2026-02-06,61.97
2026-02-09,63.32
2026-02-10,63.15
2026-02-11,64.05
2026-02-12,65.21
2026-02-13,65.73
2026-02-16,65.36
2026-02-17,65.18
2026-02-18,65.46
2026-02-19,65.49
2026-02-20,66.82
2026-02-23,66.35
2026-02-24,66.64
2026-02-25,66.03
2026-02-26,65.64
2026-02-27,66.30
2026-03-02,66.07
2026-03-03,65.64
2026-03-04,65.72
2026-03-05,65.45
2026-03-06,65.87
2026-03-09,65.35
2026-03-10,65.85
2026-03-11,65.53
2026-03-12,66.01
2026-03-13,65.88
2026-03-16,65.72
2026-03-17,66.17
2026-03-18,66.92
2026-03-19,65.96
2026-03-20,65.51
2026-03-23,65.04
2026-03-24,66.24
2026-03-25,65.32
2026-03-26,64.12
2026-03-27,64.99
2026-03-30,65.42
2026-03-31,65.18
2026-04-01,64.14
2026-04-02,63.89
2026-04-03,63.85
2026-04-06,63.06
2026-04-07,64.22
2026-04-08,64.72
2026-04-09,65.34
2026-04-10,64.57
2026-04-13,63.34
2026-04-14,63.99
2026-04-15,64.29
2026-04-16,64.44
2026-04-17,63.82
2026-04-20,63.10
2026-04-21,62.83
2026-04-22,63.52
2026-04-23,63.90
2026-04-24,64.23
2026-04-27,64.24
2026-04-28,64.06
2026-04-29,64.31
2026-04-30,65.30
2026-05-01,65.45
2026-05-04,64.38
2026-05-05,64.85
2026-05-06,64.80
2026-05-07,63.29
2026-05-08,63.62
2026-05-11,63.41
2026-05-12,63.00
2026-05-13,63.55
2026-05-14,63.92
2026-05-15,63.34
2026-05-18,63.55
2026-05-19,63.61
2026-05-20,63.93
2026-05-21,64.29
2026-05-22,64.61
2026-05-25,64.02
2026-05-26,63.35
2026-05-27,63.24
2026-05-28,63.73
2026-05-29,63.52
2026-06-01,63.78
2026-06-02,62.61
2026-06-03,62.50
2026-06-04,61.64
2026-06-05,62.28
2026-06-08,63.57
2026-06-09,64.53
2026-06-10,65.49
2026-06-11,65.09
2026-06-12,65.36
2026-06-15,66.23
2026-06-16,64.39
2026-06-17,63.99
2026-06-18,65.62
2026-06-19,66.60
2026-06-22,65.76
2026-06-23,65.95
2026-06-24,66.76
2026-06-25,66.38
2026-06-26,67.56
2026-06-29,68.72
2026-06-30,69.51
2026-07-01,69.74
2026-07-02,70.06
2026-07-03,69.42
2026-07-06,69.58
2026-07-07,69.68
2026-07-08,69.99
2026-07-09,70.22
2026-07-10,70.24
2026-07-13,69.84
2026-07-14,70.07
2026-07-15,70.64
2026-07-16,70.09
2026-07-17,71.48
2026-07-20,72.00
2026-07-21,72.26
2026-07-22,72.61
2026-07-23,74.29
2026-07-24,74.85
2026-07-27,75.35
2026-07-28,75.86
2026-07-29,76.55
2026-07-30,75.62
2026-07-31,76.08
2026-08-03,76.69
2026-08-04,76.73
2026-08-05,77.47
2026-08-06,77.04
2026-08-07,77.31
2026-08-10,77.68
2026-08-11,77.64
2026-08-12,77.83
2026-08-13,79.05
2026-08-14,77.55
2026-08-17,76.78
2026-08-18,76.72
2026-08-19,75.45
2026-08-20,75.37
2026-08-21,73.98
